MM_CTPDP,AOE93478.1
MM_DCDPMP,AOE93478.1
MM_DCTPDP,AOE93478.1
MM_DCTPMP,AOE93478.1
MM_NTD1,AOE93251.1
MM_NTD5,AOE93251.1
MM_NTD6,AOE93251.1
MM_NTD8,AOE93251.1
MM_NTD9,AOE93478.1
MM_PAPA,AOE93310.1
